custAge,profession,marital,schooling,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,pmonths,pastEmail,id,predict_SVM,predict_randomForest,predict_logistic,Final
36.65,0,1,6,0,0,1,0,9,4,2,999,1,0,-1.1,94.199,-37.5,0.886,4963.6,999,2,1,0,0,0,0
35,7,1,3,0,0,0,0,9,3,2,3,1,2,-3.4,92.379,-29.8,0.788,5017.5,0.1,2,2,1,1,1,1
50,1,1,5,0,1,0,0,6,2,1,999,1,0,-1.8,92.893,-46.2,1.327,5099.1,999,2,3,0,0,0,0
30,0,2,6,0,0,0,0,1,4,1,999,0,1,1.4,93.444,-36.1,4.964,5228.1,999,0,4,0,0,0,0
39,7,0,3,0,1,0,0,7,3,1,999,0,1,-0.1,93.2,-42,4.153,5195.8,999,0,5,0,0,0,0
30.07911829,8,2,3,0,1,0,0,3,2,1,999,0,1,1.4,93.918,-42.7,4.958,5228.1,999,0,6,0,0,0,0
36,3,1,0,0,1,0,0,0,4,7,999,0,1,-1.8,93.075,-47.1,1.415,5099.1,999,0,7,0,0,0,0
30,0,2,2,0,1,0,1,3,2,1,999,0,1,1.4,93.918,-42.7,4.963,5228.1,999,0,8,0,0,0,0
35.07524439,1,2,1,0,1,0,1,6,4,10,999,0,1,1.1,93.994,-36.4,4.859,5191,999,0,9,0,0,0,0
43.36176542,6,1,2,0,0,0,0,1,0,7,999,0,1,1.4,93.444,-36.1,4.966,5228.1,999,0,10,0,0,0,0
33,2,1,6,0,0,1,1,4,2,2,999,0,1,1.4,94.465,-41.8,4.958,5228.1,999,0,11,0,0,0,0
28,9,1,2,0,0,0,0,0,2,1,999,0,1,-1.8,93.075,-47.1,1.41,5099.1,999,0,12,0,0,0,0
31,0,2,3,0,1,1,0,3,1,4,999,0,1,1.4,93.918,-42.7,4.96,5228.1,999,0,13,0,0,0,0
29.98172806,1,2,5,0,1,0,0,3,2,1,999,0,1,1.4,93.918,-42.7,4.962,5228.1,999,0,14,0,0,0,0
39,9,2,1,0,0,0,1,6,4,1,999,0,1,1.1,93.994,-36.4,4.856,5191,999,0,15,0,0,0,0
29,0,1,2,0,0,1,1,4,0,3,999,0,1,1.4,94.465,-41.8,4.959,5228.1,999,0,16,0,0,0,0
44.3,2,1,5,0,0,0,0,8,2,1,999,0,1,-3.4,92.431,-26.9,0.722,5017.5,999,0,17,1,1,0,1
42,4,1,6,0,1,1,0,7,1,1,999,0,1,-0.1,93.2,-42,4.191,5195.8,999,0,18,0,0,0,0
52,1,1,0,0,0,0,1,6,2,1,999,0,1,1.1,93.994,-36.4,4.86,5191,999,0,19,0,0,0,0
58,10,0,3,0,0,0,0,3,0,6,999,0,1,1.4,93.918,-42.7,4.962,5228.1,999,0,20,0,0,0,0
50,1,1,0,0,1,0,0,1,4,1,999,0,1,1.4,93.444,-36.1,4.965,5228.1,999,0,21,0,0,0,0
29,2,2,6,0,0,0,0,0,0,2,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,999,0,22,0,0,0,0
47,9,0,3,0,0,0,1,6,0,5,999,0,1,1.1,93.994,-36.4,4.864,5191,999,0,23,0,0,0,0
28,1,2,0,0,0,0,1,6,3,7,999,0,1,1.1,93.994,-36.4,4.856,5191,999,0,24,0,0,0,0
53,1,1,0,0,0,0,1,4,1,2,999,0,1,1.4,94.465,-41.8,4.961,5228.1,999,0,25,0,0,0,0
30,0,2,3,0,0,0,0,3,2,2,999,0,1,1.4,93.918,-42.7,4.958,5228.1,999,0,26,0,0,0,0
